Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::reshape,,,2.45,6.63,0,0,0,0
aten::view,,,4.18,4.18,0,0,0,0
aten::reshape,,,1.39,4.1,0,0,0,0
aten::view,,,2.71,2.71,0,0,0,0
aten::reshape,,,1.25,3.61,0,0,0,0
aten::view,,,2.36,2.36,0,0,0,0
aten::reshape,,,0.77,2.59,0,0,0,0
aten::view,,,1.82,1.82,0,0,0,0
aten::reshape,,,1.06,3.26,0,0,0,0
aten::view,,,2.2,2.2,0,0,0,0
aten::reshape,,,1.14,2.71,0,0,0,0
aten::view,,,1.57,1.57,0,0,0,0
aten::new_empty,,,3.01,24.07,0,0,0,0
aten::empty,,,4.99,21.06,0,0,0,0
empty_tensor,,,16.07,16.07,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,27.52,27.52,10.66,10.66,0,0
aten::squeeze,,,7.7,14.55,0,0,0,0
aten::as_strided,,,6.85,6.85,0,0,0,0
aten::squeeze,,,2.72,4.69,0,0,0,0
aten::as_strided,,,1.97,1.97,0,0,0,0
aten::copy_,,,79.93,98.3,0,0.6,0,0
aclnnInplaceCopy,,,18.37,18.37,0.6,0.6,0,0
aten::fill_,,,19.96,38.15,0,1.4,0,0
aclnnInplaceFillScalar,,,18.19,18.19,1.4,1.4,0,0
aten::fill_,,,9.62,52.07,0,1.36,0,0
aclnnInplaceFillScalar,,,42.45,42.45,1.36,1.36,0,0
vllm::unified_attention_with_output,,,302.7,734.23,0,22.78,0,0
aten::slice,,,7.28,15.51,0,0,0,0
aten::as_strided,,,8.23,8.23,0,0,0,0
aten::slice,,,1.8,5.04,0,0,0,0
aten::as_strided,,,3.24,3.24,0,0,0,0
aten::slice,,,7.58,9.64,0,0,0,0
aten::as_strided,,,2.06,2.06,0,0,0,0
atb::_npu_reshape_and_cache,,,56.95,72.73,0,2.54,0,0
ReshapeCacheOperation,,,15.78,15.78,2.54,2.54,0,0
aten::view,,,12.15,12.15,0,0,0,0
aten::view,,,4.49,4.49,0,0,0,0
aten::slice,,,3.73,7.66,0,0,0,0
aten::as_strided,,,3.93,3.93,0,0,0,0
npu::npu_fused_infer_attention_score,,,103.27,147.31,0,19.62,0,0
empty_tensor,,,14.81,14.81,0,0,0,0
empty_tensor,,,4.36,4.36,0,0,0,0
empty_tensor,,,3.65,3.65,0,0,0,0
empty_tensor,,,1.6,1.6,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,19.62,19.62,19.62,19.62,0,0
aten::view,,,5.0,5.0,0,0,0,0
aten::slice,,,4.23,7.42,0,0,0,0
aten::as_strided,,,3.19,3.19,0,0,0,0
aten::copy_,,,72.36,76.67,0,0.62,0,0
aclnnInplaceCopy,,,4.31,4.31,0.62,0.62,0,0
aten::slice,,,4.25,8.52,0,0,0,0
aten::as_strided,,,4.27,4.27,0,0,0,0
aten::copy_,,,44.69,59.39,0,0,0,0
aclnnInplaceCopy,,,14.7,14.7,0,0,0,0
aten::fill_,,,19.75,41.72,0,1.44,0,0
aclnnInplaceFillScalar,,,21.97,21.97,1.44,1.44,0,0
aten::fill_,,,8.71,14.4,0,1.44,0,0
aclnnInplaceFillScalar,,,5.69,5.69,1.44,1.44,0,0
aten::index,,,35.71,95.12,0,17.12,0,0
empty_tensor,,,9.86,9.86,0,0,0,0
empty_tensor,,,9.7,9.7,0,0,0,0
aclnnIndex,,,39.85,39.85,17.12,17.12,0,0
vllm::unquantized_gemm,,,28.52,118.3,0,684.12,0,684.12
aten::linear,,,6.6,89.78,0,684.12,0,684.12
aten::t,,,8.35,20.89,0,0,0,0
aten::transpose,,,4.84,12.54,0,0,0,0
aten::as_strided,,,7.7,7.7,0,0,0,0
aten::matmul,,,26.2,62.29,0,684.12,0,684.12
empty_tensor,,,12.77,12.77,0,0,0,0
aclnnMatmul,,,23.32,23.32,684.12,684.12,684.12,684.12
aten::alias,,,3.41,3.41,0,0,0,0
aten::to,,,5.36,63.32,0,12.42,0,0
npu::_npu_dtype_cast,,,20.8,57.96,0,12.42,0,0
empty_tensor,,,14.16,14.16,0,0,0,0
aclnnCast,,,23.0,23.0,12.42,12.42,0,0
aten::argmax,,,9.45,60.71,0,33.72,0,0
aten::empty,,,3.94,14.3,0,0,0,0
empty_tensor,,,10.36,10.36,0,0,0,0
aten::argmax,,,26.0,36.96,0,33.72,0,0
aten::reshape,,,1.94,5.95,0,0,0,0
aten::view,,,4.01,4.01,0,0,0,0
aclnnArgMax,,,5.01,5.01,33.72,33.72,0,0
aten::view,,,3.61,3.61,0,0,0,0
aten::to,,,1.33,1.33,0,0,0,0
aten::to,,,2.43,27.61,0,1.56,0,0
npu::_npu_dtype_cast,,,13.89,25.18,0,1.56,0,0
empty_tensor,,,6.54,6.54,0,0,0,0
aclnnCast,,,4.75,4.75,1.56,1.56,0,0
aten::unsqueeze,,,3.89,7.09,0,0,0,0
aten::as_strided,,,3.2,3.2,0,0,0,0
Event::record,,,207.56,234.97,0,0.02,0,0
record_event,,,27.41,27.41,0.02,0.02,0,0
aten::slice,,,6.67,15.05,0,0,0,0
aten::as_strided,,,8.38,8.38,0,0,0,0
Event::wait,,,92.24,127.79,0,0,0,0
wait_event,,,35.55,35.55,0,0,0,0
Event::record,,,111.84,140.25,0,0.02,0,0
record_event,,,28.41,28.41,0.02,0.02,0,0
Event::wait,,,73.13,99.0,0,0,0,0
wait_event,,,25.87,25.87,0,0,0,0
destroy_event,,,4.51,4.51,0,0,0,0
aten::to,,,4.86,74.02,0,2.18,0,0
aten::_to_copy,,,8.86,69.16,0,2.18,0,0
aten::empty,,,23.53,23.53,0,0,0,0
aten::copy_,,,21.26,36.77,0,2.18,0,0
acl_memcpy_device_to_host,,,15.51,15.51,2.18,2.18,0,0
Event::record,,,196.54,217.65,0,0.0,0,0
record_event,,,21.11,21.11,0.0,0.0,0,0
Event::synchronize,,,409.95,409.95,0,0,0,0
aten::slice,,,14.41,23.34,0,0,0,0
aten::as_strided,,,8.93,8.93,0,0,0,0
aten::slice,,,4.13,7.63,0,0,0,0
aten::as_strided,,,3.5,3.5,0,0,0,0
aten::copy_,,,29.96,49.15,0,2.54,0,0
acl_memcpy_host_to_device,,,19.19,19.19,2.54,2.54,0,0
aten::slice,,,6.26,10.83,0,0,0,0
aten::as_strided,,,4.57,4.57,0,0,0,0
aten::slice,,,3.15,5.95,0,0,0,0
aten::as_strided,,,2.8,2.8,0,0,0,0
aten::copy_,,,21.24,44.02,0,2.88,0,0
acl_memcpy_host_to_device,,,22.78,22.78,2.88,2.88,0,0
aten::slice,,,13.37,23.63,0,0,0,0
aten::as_strided,,,10.26,10.26,0,0,0,0
aten::slice,,,3.77,7.02,0,0,0,0
aten::as_strided,,,3.25,3.25,0,0,0,0
aten::copy_,,,30.34,56.72,0,2.54,0,0
acl_memcpy_host_to_device,,,26.38,26.38,2.54,2.54,0,0
aten::slice,,,7.07,12.02,0,0,0,0
aten::as_strided,,,4.95,4.95,0,0,0,0
aten::slice,,,2.79,6.36,0,0,0,0
aten::as_strided,,,3.57,3.57,0,0,0,0
aten::copy_,,,18.72,41.34,0,2.58,0,0
acl_memcpy_host_to_device,,,22.62,22.62,2.58,2.58,0,0
aten::slice,,,12.09,20.02,0,0,0,0
aten::as_strided,,,7.93,7.93,0,0,0,0
aten::slice,,,3.63,6.47,0,0,0,0
aten::as_strided,,,2.84,2.84,0,0,0,0
aten::copy_,,,29.45,57.77,0,2.94,0,0
acl_memcpy_host_to_device,,,28.32,28.32,2.94,2.94,0,0
aten::slice,,,6.9,11.05,0,0,0,0
aten::as_strided,,,4.15,4.15,0,0,0,0
aten::slice,,,2.75,5.67,0,0,0,0
aten::as_strided,,,2.92,2.92,0,0,0,0
aten::copy_,,,21.45,44.31,0,2.5,0,0
acl_memcpy_host_to_device,,,22.86,22.86,2.5,2.5,0,0
aten::slice,,,6.48,11.18,0,0,0,0
aten::as_strided,,,4.7,4.7,0,0,0,0
aten::slice,,,3.14,5.14,0,0,0,0
aten::as_strided,,,2.0,2.0,0,0,0,0
aten::copy_,,,19.01,41.06,0,2.6,0,0
acl_memcpy_host_to_device,,,22.05,22.05,2.6,2.6,0,0
aten::slice,,,19.98,23.37,0,0,0,0
aten::as_strided,,,3.39,3.39,0,0,0,0
aten::slice,,,3.71,5.59,0,0,0,0
aten::as_strided,,,1.88,1.88,0,0,0,0
aten::copy_,,,19.77,40.39,0,2.6,0,0
acl_memcpy_host_to_device,,,20.62,20.62,2.6,2.6,0,0
aten::lift_fresh,,,1.58,1.58,0,0,0,0
aten::lift_fresh,,,1.01,1.01,0,0,0,0
aten::flatten,,,3.94,10.01,0,0,0,0
aten::view,,,6.07,6.07,0,0,0,0
aten::slice,,,4.73,6.67,0,0,0,0
aten::as_strided,,,1.94,1.94,0,0,0,0
aten::index_select,,,7.27,7.27,0,0,0,0
aten::copy_,,,24.73,48.02,0,2.98,0,0
acl_memcpy_host_to_device,,,23.29,23.29,2.98,2.98,0,0
aten::copy_,,,19.48,41.07,0,2.66,0,0
acl_memcpy_host_to_device,,,21.59,21.59,2.66,2.66,0,0
aten::slice,,,8.4,11.59,0,0,0,0
aten::as_strided,,,3.19,3.19,0,0,0,0
aten::fill_,,,10.18,10.18,0,0,0,0
aten::copy_,,,19.84,42.49,0,2.64,0,0
acl_memcpy_host_to_device,,,22.65,22.65,2.64,2.64,0,0
aten::slice,,,6.21,11.47,0,0,0,0
aten::as_strided,,,5.26,5.26,0,0,0,0
aten::fill_,,,23.51,44.83,0,1.48,0,0
aclnnInplaceFillScalar,,,21.32,21.32,1.48,1.48,0,0
aten::slice,,,8.25,13.33,0,0,0,0
aten::as_strided,,,5.08,5.08,0,0,0,0
aten::select,,,4.62,6.85,0,0,0,0
aten::as_strided,,,2.23,2.23,0,0,0,0
aten::copy_,,,78.61,95.84,0,0.6,0,0
aclnnInplaceCopy,,,17.23,17.23,0.6,0.6,0,0
aten::copy_,,,25.91,42.3,0,4.7,0,0
acl_memcpy_host_to_device,,,16.39,16.39,4.7,4.7,0,0
aten::slice,,,10.69,15.65,0,0,0,0
aten::as_strided,,,4.96,4.96,0,0,0,0
aten::slice,,,3.54,6.84,0,0,0,0
aten::as_strided,,,3.3,3.3,0,0,0,0
aten::copy_,,,3.14,3.14,0,0,0,0
aten::slice,,,5.29,10.4,0,0,0,0
aten::as_strided,,,5.11,5.11,0,0,0,0
aten::sub,,,26.9,67.57,0,1.44,0,0
empty_tensor,,,13.87,13.87,0,0,0,0
aten::item,,,2.87,4.94,0,0,0,0
aten::_local_scalar_dense,,,2.07,2.07,0,0,0,0
aclnnSubs,,,21.86,21.86,1.44,1.44,0,0
aten::slice,,,13.07,21.28,0,0,0,0
aten::as_strided,,,8.21,8.21,0,0,0,0
aten::slice,,,4.07,6.6,0,0,0,0
aten::as_strided,,,2.53,2.53,0,0,0,0
aten::slice,,,3.51,5.37,0,0,0,0
aten::as_strided,,,1.86,1.86,0,0,0,0
aten::fill_,,,22.05,41.28,0,0,0,0
aclnnInplaceFillScalar,,,19.23,19.23,0,0,0,0
aten::slice,,,5.48,8.75,0,0,0,0
aten::as_strided,,,3.27,3.27,0,0,0,0
aten::fill_,,,13.62,25.88,0,0,0,0
aclnnInplaceFillScalar,,,12.26,12.26,0,0,0,0
aten::slice,,,4.71,7.52,0,0,0,0
aten::as_strided,,,2.81,2.81,0,0,0,0
aten::slice,,,3.17,6.78,0,0,0,0
aten::as_strided,,,3.61,3.61,0,0,0,0
aten::slice,,,2.69,4.7,0,0,0,0
aten::as_strided,,,2.01,2.01,0,0,0,0
aten::slice,,,2.66,3.85,0,0,0,0
aten::as_strided,,,1.19,1.19,0,0,0,0
aten::slice,,,2.86,3.8,0,0,0,0
aten::as_strided,,,0.94,0.94,0,0,0,0
aten::slice,,,6.49,9.43,0,0,0,0
aten::as_strided,,,2.94,2.94,0,0,0,0
aten::slice,,,3.14,4.5,0,0,0,0
aten::as_strided,,,1.36,1.36,0,0,0,0
aten::slice,,,3.25,6.55,0,0,0,0
aten::as_strided,,,3.3,3.3,0,0,0,0
aten::pin_memory,,,3.29,6.76,0,0,0,0
aten::is_pinned,,,3.47,3.47,0,0,0,0
aten::to,,,4.62,80.16,0,2.56,0,0
aten::_to_copy,,,7.96,75.54,0,2.56,0,0
aten::empty_strided,,,13.76,21.1,0,0,0,0
empty_tensor,,,7.34,7.34,0,0,0,0
aten::copy_,,,26.7,46.48,0,2.56,0,0
acl_memcpy_host_to_device,,,19.78,19.78,2.56,2.56,0,0
aten::resolve_conj,,,0.98,0.98,0,0,0,0
aten::resolve_neg,,,0.7,0.7,0,0,0,0
aten::slice,,,6.64,9.69,0,0,0,0
aten::as_strided,,,3.05,3.05,0,0,0,0
aten::resolve_conj,,,0.62,0.62,0,0,0,0
aten::resolve_neg,,,0.44,0.44,0,0,0,0
aten::slice,,,6.05,11.2,0,0,0,0
aten::as_strided,,,5.15,5.15,0,0,0,0
aten::slice,,,3.42,6.1,0,0,0,0
aten::as_strided,,,2.68,2.68,0,0,0,0
aten::slice,,,3.58,5.76,0,0,0,0
aten::as_strided,,,2.18,2.18,0,0,0,0
aten::fill_,,,20.65,41.77,0,0,0,0
aclnnInplaceFillScalar,,,21.12,21.12,0,0,0,0
aten::slice,,,5.04,8.2,0,0,0,0
aten::as_strided,,,3.16,3.16,0,0,0,0
aten::fill_,,,12.2,18.27,0,0,0,0
aclnnInplaceFillScalar,,,6.07,6.07,0,0,0,0
aten::slice,,,5.95,9.72,0,0,0,0
aten::as_strided,,,3.77,3.77,0,0,0,0
aten::slice,,,3.77,6.22,0,0,0,0
aten::as_strided,,,2.45,2.45,0,0,0,0
aten::sub,,,20.48,56.84,0,1.52,0,0
empty_tensor,,,13.05,13.05,0,0,0,0
aclnnSub,,,23.31,23.31,1.52,1.52,0,0
aten::sub,,,13.04,26.09,0,1.44,0,0
empty_tensor,,,7.82,7.82,0,0,0,0
aclnnSub,,,5.23,5.23,1.44,1.44,0,0
aten::select,,,9.29,12.89,0,0,0,0
aten::as_strided,,,3.6,3.6,0,0,0,0
aten::slice,,,7.4,10.77,0,0,0,0
aten::as_strided,,,3.37,3.37,0,0,0,0
aten::slice,,,3.47,6.25,0,0,0,0
aten::as_strided,,,2.78,2.78,0,0,0,0
aten::slice,,,4.05,6.53,0,0,0,0
aten::as_strided,,,2.48,2.48,0,0,0,0
aten::fill_,,,19.72,42.91,0,0,0,0
aclnnInplaceFillScalar,,,23.19,23.19,0,0,0,0
aten::slice,,,5.73,9.23,0,0,0,0
aten::as_strided,,,3.5,3.5,0,0,0,0
aten::fill_,,,13.0,27.56,0,0,0,0
aclnnInplaceFillScalar,,,14.56,14.56,0,0,0,0
aten::slice,,,5.65,9.77,0,0,0,0
aten::as_strided,,,4.12,4.12,0,0,0,0
aten::slice,,,5.73,7.63,0,0,0,0
aten::as_strided,,,1.9,1.9,0,0,0,0
aten::sub,,,17.55,71.11,0,1.26,0,0
empty_tensor,,,11.54,11.54,0,0,0,0
aclnnSub,,,42.02,42.02,1.26,1.26,0,0
aten::sub,,,26.2,38.62,0,1.26,0,0
empty_tensor,,,8.18,8.18,0,0,0,0
aclnnSub,,,4.24,4.24,1.26,1.26,0,0
aten::select,,,9.55,14.08,0,0,0,0
aten::as_strided,,,4.53,4.53,0,0,0,0
aten::slice,,,7.99,11.87,0,0,0,0
aten::as_strided,,,3.88,3.88,0,0,0,0
aten::slice,,,3.4,5.53,0,0,0,0
aten::as_strided,,,2.13,2.13,0,0,0,0
aten::slice,,,2.45,3.82,0,0,0,0
aten::as_strided,,,1.37,1.37,0,0,0,0
aten::fill_,,,17.59,47.68,0,0,0,0
aclnnInplaceFillScalar,,,30.09,30.09,0,0,0,0
aten::slice,,,4.83,7.65,0,0,0,0
aten::as_strided,,,2.82,2.82,0,0,0,0
aten::fill_,,,12.4,17.82,0,0,0,0
aclnnInplaceFillScalar,,,5.42,5.42,0,0,0,0
aten::slice,,,4.6,7.52,0,0,0,0
aten::as_strided,,,2.92,2.92,0,0,0,0
aten::slice,,,6.24,8.11,0,0,0,0
aten::as_strided,,,1.87,1.87,0,0,0,0
aten::sub,,,17.49,51.24,0,1.42,0,0
empty_tensor,,,11.12,11.12,0,0,0,0
aclnnSub,,,22.63,22.63,1.42,1.42,0,0
aten::sub,,,12.92,25.11,0,1.34,0,0
empty_tensor,,,8.08,8.08,0,0,0,0
aclnnSub,,,4.11,4.11,1.34,1.34,0,0
aten::select,,,8.35,12.38,0,0,0,0
aten::as_strided,,,4.03,4.03,0,0,0,0
Event::record,,,191.54,216.49,0,0.02,0,0
record_event,,,24.95,24.95,0.02,0.02,0,0
aten::lift_fresh,,,1.94,1.94,0,0,0,0
aten::slice,,,9.1,12.47,0,0,0,0
aten::as_strided,,,3.37,3.37,0,0,0,0
aten::fill_,,,4.23,18.55,0,0,0,0
aten::copy_,,,14.32,14.32,0,0,0,0
aten::slice,,,5.01,11.23,0,0,0,0
aten::as_strided,,,6.22,6.22,0,0,0,0
aten::slice,,,2.46,4.3,0,0,0,0
aten::as_strided,,,1.84,1.84,0,0,0,0
aten::copy_,,,28.35,47.46,0,2.52,0,0
acl_memcpy_host_to_device,,,19.11,19.11,2.52,2.52,0,0
aten::slice,,,6.41,10.97,0,0,0,0
aten::as_strided,,,4.56,4.56,0,0,0,0
aten::to,,,3.71,61.53,0,1.34,0,0
npu::_npu_dtype_cast,,,20.55,57.82,0,1.34,0,0
empty_tensor,,,15.33,15.33,0,0,0,0
aclnnCast,,,21.94,21.94,1.34,1.34,0,0
aten::embedding,,,17.28,30.92,0,11.44,0,0
empty_tensor,,,10.73,10.73,0,0,0,0
aclnnEmbedding,,,2.91,2.91,11.44,11.44,0,0
vllm::maybe_pad_and_reduce,,,22.31,22.31,0,0,0,0
aten::slice,,,7.79,12.19,0,0,0,0
aten::as_strided,,,4.4,4.4,0,0,0,0
aten::copy_,,,74.45,80.12,0,0.52,0,0
aclnnInplaceCopy,,,5.67,5.67,0.52,0.52,0,0
aten::slice,,,7.79,11.98,0,0,0,0
aten::as_strided,,,4.19,4.19,0,0,0,0
aten::slice,,,4.47,7.88,0,0,0,0
aten::as_strided,,,3.41,3.41,0,0,0,0
aten::fill_,,,21.7,42.69,0,1.52,0,0
aclnnInplaceFillScalar,,,20.99,20.99,1.52,1.52,0,0
aten::fill_,,,9.13,11.92,0,1.38,0,0
aclnnInplaceFillScalar,,,2.79,2.79,1.38,1.38,0,0
vllm::gdn_attention_core,,,1625.21,2105.48,0,45.92,0,0
aten::transpose,,,13.98,24.76,0,0,0,0
aten::as_strided,,,10.78,10.78,0,0,0,0
aten::slice,,,4.99,7.96,0,0,0,0
aten::as_strided,,,2.97,2.97,0,0,0,0
aten::slice,,,1.53,3.41,0,0,0,0
aten::as_strided,,,1.88,1.88,0,0,0,0
aten::slice,,,1.23,2.76,0,0,0,0
aten::as_strided,,,1.53,1.53,0,0,0,0
aten::view,,,8.26,8.26,0,0,0,0
aten::slice,,,27.17,30.59,0,0,0,0
aten::as_strided,,,3.42,3.42,0,0,0,0
aten::transpose,,,4.89,8.67,0,0,0,0
aten::as_strided,,,3.78,3.78,0,0,0,0
aten::contiguous,,,3.29,100.83,0,23.04,0,0
aten::clone,,,7.12,97.54,0,23.04,0,0
empty_tensor,,,16.41,16.41,0,0,0,0
aten::copy_,,,31.65,74.01,0,23.04,0,0
aclnnInplaceCopy,,,42.36,42.36,23.04,23.04,0,0
aten::transpose,,,6.39,9.8,0,0,0,0
aten::as_strided,,,3.41,3.41,0,0,0,0
aten::to,,,1.72,1.72,0,0,0,0
aten::unsqueeze,,,2.55,4.47,0,0,0,0
aten::as_strided,,,1.92,1.92,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,33.03,33.03,6.96,6.96,0,0
aten::squeeze,,,6.99,13.37,0,0,0,0
aten::as_strided,,,6.38,6.38,0,0,0,0
aten::to,,,2.37,2.37,0,0,0,0
aten::split_with_sizes,,,7.8,15.37,0,0,0,0
aten::as_strided,,,4.18,4.18,0,0,0,0
aten::as_strided,,,2.29,2.29,0,0,0,0
aten::as_strided,,,1.1,1.1,0,0,0,0
aten::reshape,,,2.47,6.68,0,0,0,0
aten::view,,,4.21,4.21,0,0,0,0
aten::reshape,,,0.96,3.95,0,0,0,0
aten::view,,,2.99,2.99,0,0,0,0
aten::reshape,,,1.12,3.24,0,0,0,0
aten::view,,,2.12,2.12,0,0,0,0
aten::reshape,,,0.71,2.41,0,0,0,0
aten::view,,,1.7,1.7,0,0,0,0
aten::reshape,,,1.13,3.04,0,0,0,0
aten::view,,,1.91,1.91,0,0,0,0
aten::reshape,,,0.87,3.22,0,0,0,0
aten::view,,,2.35,2.35,0,0,0,0
aten::new_empty,,,2.92,23.44,0,0,0,0
aten::empty,,,4.99,20.52,0,0,0,0
empty_tensor,,,15.53,15.53,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,34.3,34.3,15.36,15.36,0,0
aten::squeeze,,,8.0,15.23,0,0,0,0
aten::as_strided,,,7.23,7.23,0,0,0,0
aten::squeeze,,,2.41,5.65,0,0,0,0
aten::as_strided,,,3.24,3.24,0,0,0,0
aten::copy_,,,87.23,111.74,0,0.56,0,0
aclnnInplaceCopy,,,24.51,24.51,0.56,0.56,0,0
aten::fill_,,,21.68,41.73,0,1.44,0,0
aclnnInplaceFillScalar,,,20.05,20.05,1.44,1.44,0,0
aten::fill_,,,9.16,12.68,0,1.46,0,0
aclnnInplaceFillScalar,,,3.52,3.52,1.46,1.46,0,0
vllm::gdn_attention_core,,,1496.99,1957.79,0,33.68,0,0
aten::transpose,,,14.66,25.0,0,0,0,0
aten::as_strided,,,10.34,10.34,0,0,0,0
aten::slice,,,4.04,6.6,0,0,0,0
aten::as_strided,,,2.56,2.56,0,0,0,0
aten::slice,,,1.59,3.14,0,0,0,0
aten::as_strided,,,1.55,1.55,0,0,0,0
aten::slice,,,1.39,2.8,0,0,0,0
aten::as_strided,,,1.41,1.41,0,0,0,0
aten::view,,,11.58,11.58,0,0,0,0
aten::slice,,,6.64,9.7,0,0,0,0
aten::as_strided,,,3.06,3.06,0,0,0,0
aten::transpose,,,4.67,7.15,0,0,0,0
aten::as_strided,,,2.48,2.48,0,0,0,0
aten::contiguous,,,3.99,84.72,0,14.38,0,0
aten::clone,,,7.14,80.73,0,14.38,0,0
empty_tensor,,,15.97,15.97,0,0,0,0
aten::copy_,,,32.44,57.62,0,14.38,0,0
aclnnInplaceCopy,,,25.18,25.18,14.38,14.38,0,0
aten::transpose,,,5.54,8.9,0,0,0,0
aten::as_strided,,,3.36,3.36,0,0,0,0
aten::to,,,1.81,1.81,0,0,0,0
aten::unsqueeze,,,2.68,4.4,0,0,0,0
aten::as_strided,,,1.72,1.72,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,36.32,36.32,7.1,7.1,0,0
aten::squeeze,,,8.19,14.66,0,0,0,0
aten::as_strided,,,6.47,6.47,0,0,0,0
aten::to,,,1.74,1.74,0,0,0,0
aten::split_with_sizes,,,7.76,14.93,0,0,0,0
aten::as_strided,,,4.25,4.25,0,0,0,0
aten::as_strided,,,1.78,1.78,0,0,0,0
aten::as_strided,,,1.14,1.14,0,0,0,0
aten::reshape,,,2.09,7.28,0,0,0,0
aten::view,,,5.19,5.19,0,0,0,0
aten::reshape,,,0.97,3.69,0,0,0,0
aten::view,,,2.72,2.72,0,0,0,0
aten::reshape,,,1.22,3.3,0,0,0,0
aten::view,,,2.08,2.08,0,0,0,0
aten::reshape,,,0.74,2.63,0,0,0,0
aten::view,,,1.89,1.89,0,0,0,0
aten::reshape,,,1.12,3.65,0,0,0,0
aten::view,,,2.53,2.53,0,0,0,0
aten::reshape,,,0.66,2.32,0,0,0,0
aten::view,,,1.66,1.66,0,0,0,0
aten::new_empty,,,2.94,23.48,0,0,0,0
aten::empty,,,4.85,20.54,0,0,0,0
empty_tensor,,,15.69,15.69,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,47.65,47.65,11.62,11.62,0,0
aten::squeeze,,,7.44,14.76,0,0,0,0
aten::as_strided,,,7.32,7.32,0,0,0,0
aten::squeeze,,,2.53,4.77,0,0,0,0
aten::as_strided,,,2.24,2.24,0,0,0,0
aten::copy_,,,86.92,113.82,0,0.58,0,0
aclnnInplaceCopy,,,26.9,26.9,0.58,0.58,0,0
aten::fill_,,,21.91,45.75,0,1.42,0,0
aclnnInplaceFillScalar,,,23.84,23.84,1.42,1.42,0,0
aten::fill_,,,8.88,12.45,0,1.32,0,0
aclnnInplaceFillScalar,,,3.57,3.57,1.32,1.32,0,0
vllm::gdn_attention_core,,,1593.71,2038.93,0,32.879999999999995,0,0
aten::transpose,,,13.17,23.33,0,0,0,0
aten::as_strided,,,10.16,10.16,0,0,0,0
aten::slice,,,3.89,6.74,0,0,0,0
aten::as_strided,,,2.85,2.85,0,0,0,0
aten::slice,,,1.5,3.29,0,0,0,0
aten::as_strided,,,1.79,1.79,0,0,0,0
aten::slice,,,1.95,3.5,0,0,0,0
aten::as_strided,,,1.55,1.55,0,0,0,0
aten::view,,,9.0,9.0,0,0,0,0
aten::slice,,,5.85,8.51,0,0,0,0
aten::as_strided,,,2.66,2.66,0,0,0,0
aten::transpose,,,3.96,6.49,0,0,0,0
aten::as_strided,,,2.53,2.53,0,0,0,0
aten::contiguous,,,3.53,80.7,0,14.1,0,0
aten::clone,,,6.83,77.17,0,14.1,0,0
empty_tensor,,,16.18,16.18,0,0,0,0
aten::copy_,,,30.45,54.16,0,14.1,0,0
aclnnInplaceCopy,,,23.71,23.71,14.1,14.1,0,0
aten::transpose,,,5.23,8.38,0,0,0,0
aten::as_strided,,,3.15,3.15,0,0,0,0
aten::to,,,2.2,2.2,0,0,0,0
aten::unsqueeze,,,2.67,4.64,0,0,0,0
aten::as_strided,,,1.97,1.97,0,0,0,0
_causal_conv1d_update_kernel_npu_tiled,,,35.74,35.74,7.1,7.1,0,0
aten::squeeze,,,7.35,13.78,0,0,0,0
aten::as_strided,,,6.43,6.43,0,0,0,0
aten::to,,,2.04,2.04,0,0,0,0
aten::split_with_sizes,,,9.67,18.56,0,0,0,0
aten::as_strided,,,5.59,5.59,0,0,0,0
aten::as_strided,,,1.89,1.89,0,0,0,0
aten::as_strided,,,1.41,1.41,0,0,0,0
aten::reshape,,,2.64,7.43,0,0,0,0
aten::view,,,4.79,4.79,0,0,0,0
aten::reshape,,,1.22,4.26,0,0,0,0
aten::view,,,3.04,3.04,0,0,0,0
aten::reshape,,,1.21,3.6,0,0,0,0
aten::view,,,2.39,2.39,0,0,0,0
aten::reshape,,,1.06,2.88,0,0,0,0
aten::view,,,1.82,1.82,0,0,0,0
aten::reshape,,,1.33,3.49,0,0,0,0
aten::view,,,2.16,2.16,0,0,0,0
aten::reshape,,,0.93,2.57,0,0,0,0
aten::view,,,1.64,1.64,0,0,0,0
aten::new_empty,,,3.25,23.69,0,0,0,0
aten::empty,,,4.93,20.44,0,0,0,0
empty_tensor,,,15.51,15.51,0,0,0,0
fused_sigmoid_gating_delta_rule_update_kernel,,,35.42,35.42,11.1,11.1,0,0
aten::squeeze,,,8.1,15.37,0,0,0,0
aten::as_strided,,,7.27,7.27,0,0,0,0
aten::squeeze,,,2.42,4.32,0,0,0,0
aten::as_strided,,,1.9,1.9,0,0,0,0
aten::copy_,,,89.5,115.29,0,0.58,0,0
aclnnInplaceCopy,,,25.79,25.79,0.58,0.58,0,0
aten::fill_,,,23.52,48.14,0,1.8,0,0
aclnnInplaceFillScalar,,,24.62,24.62,1.8,1.8,0,0
aten::fill_,,,9.06,12.09,0,1.4,0,0
